fecha,apertura
09/12/2015 00:00,418.8
10/12/2015 00:00,416.98
11/12/2015 00:00,415.36
12/12/2015 00:00,452.99
13/12/2015 00:00,436.08
14/12/2015 00:00,432.89
15/12/2015 00:00,443.36
16/12/2015 00:00,464.5
17/12/2015 00:00,455.63
18/12/2015 00:00,455.87
19/12/2015 00:00,462.99
20/12/2015 00:00,461.8
21/12/2015 00:00,442.54
22/12/2015 00:00,438.07
23/12/2015 00:00,435.18
24/12/2015 00:00,442.5
25/12/2015 00:00,455.42
26/12/2015 00:00,455.51
27/12/2015 00:00,417.11
28/12/2015 00:00,421.57
29/12/2015 00:00,420.81
30/12/2015 00:00,431.7
31/12/2015 00:00,426.09
01/01/2016 00:00,430.89
02/01/2016 00:00,434.87
03/01/2016 00:00,433.2
04/01/2016 00:00,430.79
05/01/2016 00:00,434.17
06/01/2016 00:00,432.45
07/01/2016 00:00,429.99
08/01/2016 00:00,457
09/01/2016 00:00,452.02
10/01/2016 00:00,448.84
11/01/2016 00:00,448.79
12/01/2016 00:00,448
13/01/2016 00:00,434.89
14/01/2016 00:00,432.64
15/01/2016 00:00,429.55
16/01/2016 00:00,360
17/01/2016 00:00,387.28
18/01/2016 00:00,380.16
19/01/2016 00:00,385.47
20/01/2016 00:00,376.77
21/01/2016 00:00,418.9
22/01/2016 00:00,409.42
23/01/2016 00:00,382.85
24/01/2016 00:00,386.37
25/01/2016 00:00,402.16
26/01/2016 00:00,390.1
27/01/2016 00:00,391.77
28/01/2016 00:00,394.62
29/01/2016 00:00,379.55
30/01/2016 00:00,378.12
31/01/2016 00:00,376.38
01/02/2016 00:00,368.49
02/02/2016 00:00,371.79
03/02/2016 00:00,373.05
04/02/2016 00:00,368.4
05/02/2016 00:00,388
06/02/2016 00:00,384.97
07/02/2016 00:00,375.39
08/02/2016 00:00,375
09/02/2016 00:00,370.95
10/02/2016 00:00,373.69
11/02/2016 00:00,379.34
12/02/2016 00:00,377.98
13/02/2016 00:00,383
14/02/2016 00:00,390.99
15/02/2016 00:00,405.5
16/02/2016 00:00,399.5
17/02/2016 00:00,407.51
18/02/2016 00:00,415.59
19/02/2016 00:00,421.15
20/02/2016 00:00,419.98
21/02/2016 00:00,434.63
22/02/2016 00:00,438.33
23/02/2016 00:00,438.26
24/02/2016 00:00,419.1
25/02/2016 00:00,423.79
26/02/2016 00:00,423.38
27/02/2016 00:00,432
28/02/2016 00:00,431.07
29/02/2016 00:00,430.26
01/03/2016 00:00,436.75
02/03/2016 00:00,433.33
03/03/2016 00:00,422.4
04/03/2016 00:00,420.29
05/03/2016 00:00,408.18
06/03/2016 00:00,399.77
07/03/2016 00:00,406.15
08/03/2016 00:00,413.96
09/03/2016 00:00,412.14
10/03/2016 00:00,412.99
11/03/2016 00:00,416
12/03/2016 00:00,419.14
13/03/2016 00:00,409.95
14/03/2016 00:00,412.99
15/03/2016 00:00,414.83
16/03/2016 00:00,415.84
17/03/2016 00:00,416.52
18/03/2016 00:00,418.47
19/03/2016 00:00,407.5
20/03/2016 00:00,408.36
21/03/2016 00:00,410.62
22/03/2016 00:00,411.15
23/03/2016 00:00,416.39
24/03/2016 00:00,417.62
25/03/2016 00:00,415.17
26/03/2016 00:00,415.6
27/03/2016 00:00,416.96
28/03/2016 00:00,424.62
29/03/2016 00:00,422.87
30/03/2016 00:00,415.43
31/03/2016 00:00,413.68
01/04/2016 00:00,414.66
02/04/2016 00:00,416.31
03/04/2016 00:00,419.35
04/04/2016 00:00,418.51
05/04/2016 00:00,418.81
06/04/2016 00:00,422.71
07/04/2016 00:00,420.62
08/04/2016 00:00,419.99
09/04/2016 00:00,417.75
10/04/2016 00:00,418.59
11/04/2016 00:00,420.4
12/04/2016 00:00,422.79
13/04/2016 00:00,425.32
14/04/2016 00:00,423.6
15/04/2016 00:00,424.4
16/04/2016 00:00,429.29
17/04/2016 00:00,430.18
18/04/2016 00:00,427.15
19/04/2016 00:00,428.14
20/04/2016 00:00,435.7
21/04/2016 00:00,441.99
22/04/2016 00:00,451
23/04/2016 00:00,447.16
24/04/2016 00:00,451.92
25/04/2016 00:00,460.03
26/04/2016 00:00,462.29
27/04/2016 00:00,467.39
28/04/2016 00:00,445.39
29/04/2016 00:00,449.94
30/04/2016 00:00,456.53
01/05/2016 00:00,448.43
02/05/2016 00:00,452.99
03/05/2016 00:00,444.06
04/05/2016 00:00,451.18
05/05/2016 00:00,447.36
06/05/2016 00:00,448.5
07/05/2016 00:00,458.98
08/05/2016 00:00,458.97
09/05/2016 00:00,457.75
10/05/2016 00:00,461.49
11/05/2016 00:00,450.88
12/05/2016 00:00,452.95
13/05/2016 00:00,455.2
14/05/2016 00:00,456.42
15/05/2016 00:00,456.3
16/05/2016 00:00,457.56
17/05/2016 00:00,454
18/05/2016 00:00,452.96
19/05/2016 00:00,452.47
20/05/2016 00:00,436.3
21/05/2016 00:00,442.84
22/05/2016 00:00,442.72
23/05/2016 00:00,438.72
24/05/2016 00:00,442.63
25/05/2016 00:00,445.31
26/05/2016 00:00,448.27
27/05/2016 00:00,452.07
28/05/2016 00:00,470.58
29/05/2016 00:00,522.13
30/05/2016 00:00,517.6
31/05/2016 00:00,527.64
01/06/2016 00:00,532.37
02/06/2016 00:00,536.95
03/06/2016 00:00,538
04/06/2016 00:00,569.93
05/06/2016 00:00,573.5
06/06/2016 00:00,573.8
07/06/2016 00:00,584.12
08/06/2016 00:00,577.48
09/06/2016 00:00,583.01
10/06/2016 00:00,576.06
11/06/2016 00:00,576.53
12/06/2016 00:00,610
13/06/2016 00:00,668.73
14/06/2016 00:00,703.81
15/06/2016 00:00,685.25
16/06/2016 00:00,695
17/06/2016 00:00,767.37
18/06/2016 00:00,745
19/06/2016 00:00,753.47
20/06/2016 00:00,759.12
21/06/2016 00:00,725
22/06/2016 00:00,665.36
23/06/2016 00:00,602.82
24/06/2016 00:00,622.59
25/06/2016 00:00,660.76
26/06/2016 00:00,658.8
27/06/2016 00:00,630.16
28/06/2016 00:00,657.49
29/06/2016 00:00,644.33
30/06/2016 00:00,635.91
01/07/2016 00:00,666.33
02/07/2016 00:00,674.55
03/07/2016 00:00,702.48
04/07/2016 00:00,659.77
05/07/2016 00:00,678.74
06/07/2016 00:00,669.09
07/07/2016 00:00,674.7
08/07/2016 00:00,638.89
09/07/2016 00:00,663
10/07/2016 00:00,647.78
11/07/2016 00:00,648.77
12/07/2016 00:00,649.32
13/07/2016 00:00,663.52
14/07/2016 00:00,652.24
15/07/2016 00:00,660.3
16/07/2016 00:00,664.6
17/07/2016 00:00,662.45
18/07/2016 00:00,679.54
19/07/2016 00:00,673.45
20/07/2016 00:00,674.8
21/07/2016 00:00,667.01
22/07/2016 00:00,663.25
23/07/2016 00:00,647.88
24/07/2016 00:00,655.52
25/07/2016 00:00,659.64
26/07/2016 00:00,655
27/07/2016 00:00,651.22
28/07/2016 00:00,655.13
29/07/2016 00:00,654.84
30/07/2016 00:00,654.88
31/07/2016 00:00,654.02
01/08/2016 00:00,622.5
02/08/2016 00:00,606.84
03/08/2016 00:00,540.03
04/08/2016 00:00,563.99
05/08/2016 00:00,578.14
06/08/2016 00:00,572.98
07/08/2016 00:00,589.47
08/08/2016 00:00,592.47
09/08/2016 00:00,591.85
10/08/2016 00:00,582.71
11/08/2016 00:00,590.46
12/08/2016 00:00,585.25
13/08/2016 00:00,585.34
14/08/2016 00:00,583.52
15/08/2016 00:00,568.76
16/08/2016 00:00,564.2
17/08/2016 00:00,574.95
18/08/2016 00:00,570.91
19/08/2016 00:00,571.51
20/08/2016 00:00,572.98
21/08/2016 00:00,577.7
22/08/2016 00:00,577.55
23/08/2016 00:00,582.78
24/08/2016 00:00,580.27
25/08/2016 00:00,577.65
26/08/2016 00:00,575.75
27/08/2016 00:00,577.92
28/08/2016 00:00,567.51
29/08/2016 00:00,573.2
30/08/2016 00:00,570.74
31/08/2016 00:00,575.88
01/09/2016 00:00,570.75
02/09/2016 00:00,571.05
03/09/2016 00:00,572
04/09/2016 00:00,596.25
05/09/2016 00:00,605.72
06/09/2016 00:00,604.98
07/09/2016 00:00,608.93
08/09/2016 00:00,614.44
09/09/2016 00:00,625.67
10/09/2016 00:00,622.01
11/09/2016 00:00,621.65
12/09/2016 00:00,604.08
13/09/2016 00:00,606.4
14/09/2016 00:00,607.45
15/09/2016 00:00,608.5
16/09/2016 00:00,606.65
17/09/2016 00:00,607.04
18/09/2016 00:00,602.93
19/09/2016 00:00,608
20/09/2016 00:00,608.73
21/09/2016 00:00,601
22/09/2016 00:00,595.46
23/09/2016 00:00,595.42
24/09/2016 00:00,600.47
25/09/2016 00:00,600.05
26/09/2016 00:00,598.95
27/09/2016 00:00,606.7
28/09/2016 00:00,604.26
29/09/2016 00:00,603.93
30/09/2016 00:00,605.59
01/10/2016 00:00,608.23
02/10/2016 00:00,612.98
03/10/2016 00:00,608.6
04/10/2016 00:00,612.84
05/10/2016 00:00,607.19
06/10/2016 00:00,608.01
07/10/2016 00:00,610.25
08/10/2016 00:00,614.88
09/10/2016 00:00,614.34
10/10/2016 00:00,612.12
11/10/2016 00:00,616.37
12/10/2016 00:00,638.3
13/10/2016 00:00,634.5
14/10/2016 00:00,635.16
15/10/2016 00:00,638.2
16/10/2016 00:00,635.26
17/10/2016 00:00,638.97
18/10/2016 00:00,636.96
19/10/2016 00:00,635.95
20/10/2016 00:00,627.84
21/10/2016 00:00,628.05
22/10/2016 00:00,628.99
23/10/2016 00:00,654.52
24/10/2016 00:00,648.71
25/10/2016 00:00,649.03
26/10/2016 00:00,651.97
27/10/2016 00:00,674.63
28/10/2016 00:00,684.68
29/10/2016 00:00,685.91
30/10/2016 00:00,711.1
31/10/2016 00:00,697.1
01/11/2016 00:00,697.04
02/11/2016 00:00,726.6
03/11/2016 00:00,742
04/11/2016 00:00,684.84
05/11/2016 00:00,702.95
06/11/2016 00:00,703.33
07/11/2016 00:00,709.92
08/11/2016 00:00,702.86
